Year for temperature difference,Annual temp difference (°C),Annual temp difference smooth (°C),Year.Month for CO2,CO2 (ppm),Year for Arctic sea ice extent,Arctic sea ice extent (million square km),Person ID number,Gender,Daily fruit/veggies,Daily stress (0-5),Number of close friends,Number of social interactions per day,Sleeping hours
1977.0,0.18,0.07,1966.04.01,321.51,,,10098.0,Female,5.0,5.0,2.0,8.0,6.0
1978.0,0.07,0.12,1966.05.01,321.18,,,10099.0,Female,1.0,3.0,6.0,10.0,7.0
1979.0,0.16,0.16,1966.06.01,321.52,,,10100.0,Female,1.0,3.0,6.0,10.0,7.0
1980.0,0.26,0.2,1966.07.01,321.49,,,10101.0,Female,2.0,3.0,3.0,5.0,7.0
1981.0,0.32,0.21,1966.08.01,321.5,,,10102.0,Female,4.0,3.0,10.0,10.0,7.0
1982.0,0.14,0.21,1966.09.01,321.54,,,10103.0,Male,5.0,4.0,10.0,8.0,6.0
1983.0,0.31,0.21,1966.10.01,321.18,,,10104.0,Female,5.0,4.0,3.0,8.0,6.0
1984.0,0.15,0.21,1966.11.01,321.84,,,10105.0,Male,3.0,2.0,3.0,3.0,9.0
1985.0,0.11,0.22,1966.12.01,321.95,,,10106.0,Female,3.0,2.0,8.0,5.0,7.0
1986.0,0.18,0.24,1967.01.01,322.07,,,10107.0,Female,2.0,3.0,10.0,4.0,7.0
1987.0,0.32,0.27,1967.02.01,321.94,,,10108.0,Female,3.0,4.0,8.0,3.0,8.0
1988.0,0.38,0.3,1967.03.01,321.72,,,10109.0,Male,2.0,2.0,1.0,10.0,6.0
1989.0,0.27,0.33,1967.04.01,322.05,,,10110.0,Female,1.0,2.0,4.0,1.0,7.0
1990.0,0.45,0.33,1967.05.01,322.27,,,10111.0,Female,3.0,2.0,6.0,9.0,6.0
1991.0,0.4,0.33,1967.06.01,321.94,,,10112.0,Male,2.0,2.0,6.0,2.0,8.0
1992.0,0.22,0.33,1967.07.01,321.66,,,10113.0,Female,1.0,3.0,5.0,2.0,7.0
1993.0,0.23,0.33,1967.08.01,322.04,,,10114.0,Female,3.0,2.0,7.0,5.0,6.0
1994.0,0.32,0.34,1967.09.01,322.19,,,10115.0,Female,5.0,2.0,7.0,3.0,9.0
1995.0,0.45,0.37,1967.10.01,322.36,,,10116.0,Female,5.0,2.0,7.0,3.0,9.0
1996.0,0.33,0.4,1967.11.01,322.78,,,10117.0,Female,3.0,5.0,3.0,10.0,6.0
1997.0,0.47,0.43,1967.12.01,322.86,,,10118.0,Female,2.0,5.0,10.0,2.0,8.0
1998.0,0.61,0.45,1968.01.01,322.55,,,10119.0,Male,2.0,1.0,0.0,6.0,7.0
1999.0,0.39,0.48,1968.02.01,322.56,,,10120.0,Female,1.0,2.0,8.0,5.0,10.0
2000.0,0.39,0.5,1968.03.01,322.59,,,10121.0,Female,1.0,2.0,8.0,5.0,10.0
2001.0,0.54,0.53,1968.04.01,322.73,,,10122.0,Male,5.0,2.0,5.0,5.0,9.0
2002.0,0.63,0.55,1968.05.01,322.87,,,10123.0,Female,5.0,3.0,6.0,10.0,5.0
